"","V1"
"1",1.2890053862804
"2",3.3525413430415
"3",2.54828464068459
"4",1.62405756890797
"5",-1.78434343917251
"6",1.13228192806928
"7",1.46556736518562
"8",0.116091856315935
"9",2.60110784254146
"10",2.64456495278612
"11",1.4014035064125
"12",2.04032451477941
"13",1.8934116458119
"14",2.42583467349109
"15",4.86529917578289
"16",2.89958042805874
"17",2.8326057600642
"18",1.54678362451801
"19",-0.674145214599964
"20",2.13162886950672
"21",1.62738959579166
"22",0.72121262751859
"23",3.21121104566186
"24",0.365382963305407
"25",3.60439729173092
"26",4.06719603050688
"27",1.208661712315
"28",2.26787679938993
"29",0.688927818850546
"30",2.63979229822979
"31",0.830430766715066
"32",2.86299685895056
"33",-0.448796094388897
"34",-0.445814369731721
"35",0.565971643898557
"36",1.05465926039477
"37",1.92162007422942
"38",2.78424147751276
"39",1.57072701093338
"40",3.8073697937054
"41",-1.71548008448757
"42",-0.0602436011645436
"43",3.74570273682125
"44",2.12906705693869
"45",2.40228782603661
"46",3.43908983955127
"47",2.04164708813282
"48",0.949205193169762
"49",4.03718979297014
"50",3.87160695744878
"51",2.19281520975751
"52",0.695911268584796
"53",3.47283292806023
"54",4.07498746032151
"55",0.963796225473661
"56",-1.31450840754556
"57",2.03182820459801
"58",1.58111633134118
"59",-3.11245978625483
"60",3.28523789660546
"61",3.98151480767797
"62",4.49415842598375
"63",1.144250966466
"64",2.36947824284674
"65",2.32788848832955
"66",1.99927552421234
"67",0.59477191225673
"68",-0.123475993431738
"69",1.40029292784535
"70",0.606863471044649
"71",1.92036204533767
"72",3.83812826665296
"73",2.13062297222663
"74",2.91475745878121
"75",-0.145080303436681
"76",1.73182852147691
"77",0.953338423131838
"78",0.554102058471572
"79",1.34069298612584
"80",2.62844219305427
"81",3.0347177793748
"82",-0.225854104966651
"83",-0.666953006451451
"84",1.14244968604115
"85",-2.89161211608542
"86",2.80389990847382
"87",0.888714531333036
"88",1.25394072086356
"89",3.76971690276603
"90",1.97745921683754
"91",3.41939612062665
"92",3.39345751847713
"93",3.06236307926696
"94",3.36219045977414
"95",2.88410621471365
"96",2.06241185883704
"97",-1.32486301846137
"98",1.00425065122919
"99",3.1787093388701
"100",3.25775450092837
"101",1.00914112735434
"102",3.64752509925939
"103",4.01486714052419
"104",0.464822522806021
"105",-1.23399407538328
"106",1.85144652741408
"107",4.29033080918388
"108",2.52137271196171
"109",0.962339926102558
"110",2.65227482370704
"111",0.238445977201392
"112",-0.365833608295042
"113",2.5201804841399
"114",0.586107324436837
"115",2.32954292348374
"116",1.87166312537877
"117",4.19331601351579
"118",1.32924650319414
"119",3.40802722190005
"120",1.39060439855386
"121",0.721644599818674
"122",3.39465563046434
"123",1.74498649908578
"124",4.11985552568207
"125",4.22243875800185
"126",2.8882764343352
"127",2.0729439827899
"128",4.31175111522999
"129",1.95133470201826
"130",-0.443238553572724
"131",2.225248355938
"132",3.10920766737764
"133",-0.247555157345149
"134",-0.192269525874992
"135",-0.950637652418141
"136",3.65572095544736
"137",3.05342131862794
"138",3.56957542925755
"139",0.390555985188201
"140",1.93094432980208
"141",2.5251925534215
"142",1.3195098490989
"143",0.835420984190049
"144",2.80392366196508
"145",2.27999066977724
"146",3.017576221038
"147",-0.0245020173950965
"148",2.29154483223285
"149",1.76373722516941
"150",2.38882922099616
"151",3.40902067967648
"152",0.847433432353435
"153",2.11125413180054
"154",4.65255157079274
"155",2.71589418636984
"156",3.26778105892884
"157",3.60281695148604
"158",2.16876901930302
"159",2.3612389768921
"160",4.95671265597359
"161",0.969690381465184
"162",1.10229188260552
"163",0.93424705044071
"164",2.87594240630814
"165",2.16637918007166
"166",0.720859418363317
