"","V1"
"1",2.61157894707328
"2",2.68667897664638
"3",2.93681588378319
"4",2.9374865499374
"5",2.59871266386471
"6",2.96639809306368
"7",2.96205334276029
"8",2.69696525545723
"9",2.69696525545723
"10",2.96205334276029
"11",2.9374865499374
"12",2.93938950182057
"13",2.92910322300971
"14",2.85400319343662
"15",2.96205334276029
"16",2.83220654342462
"17",3.00757116305289
"18",2.93938950182057
"19",2.69696525545723
"20",2.8187203218453
"21",2.69696525545723
"22",3.20882233942702
"23",2.69696525545723
"24",2.9225277787586
"25",2.96639809306368
"26",2.96205334276029
"27",2.93938950182057
"28",2.69696525545723
"29",2.96205334276029
"30",2.69696525545723
"31",2.69696525545723
"32",2.68667897664638
"33",2.69696525545723
"34",2.8187203218453
"35",2.69696525545723
"36",2.8187203218453
"37",2.96639809306368
"38",3.20882233942702
"39",2.85400319343662
"40",3.20882233942702
"41",2.9374865499374
"42",2.69696525545723
"43",2.9374865499374
"44",2.85400319343662
"45",2.85400319343662
"46",2.69696525545723
"47",2.85400319343662
"48",3.20882233942702
"49",3.20882233942702
"50",3.20447758912362
"51",3.17152746937305
"52",2.84324337557117
"53",2.69696525545723
"54",2.93626185522101
"55",2.85400319343662
"56",2.21025815227051
"57",2.69696525545723
"58",2.8187203218453
"59",2.69696525545723
"60",2.8187203218453
"61",2.69696525545723
"62",3.20882233942702
"63",2.96639809306368
"64",2.69696525545723
"65",2.69696525545723
"66",2.69696525545723
"67",2.84113691022804
"68",2.59871266386471
"69",2.96205334276029
"70",2.85400319343662
"71",2.69696525545723
"72",2.83220654342462
"73",2.85400319343662
"74",2.69506230357407
"75",2.69696525545723
"76",2.8187203218453
"77",3.20882233942702
"78",2.69696525545723
"79",2.96639809306368
"80",2.69696525545723
"81",2.85400319343662
"82",2.93938950182057
"83",2.21025815227051
"84",2.69696525545723
"85",2.59871266386471
"86",2.69696525545723
"87",2.69696525545723
"88",2.93938950182057
"89",2.8187203218453
"90",2.93681588378319
"91",3.17868610158435
"92",3.20882233942702
"93",2.45454100909389
"94",2.96639809306368
"95",3.06114456820864
"96",2.71962909639695
"97",2.69696525545723
"98",2.69696525545723
"99",2.69696525545723
"100",2.96639809306368
"101",2.96639809306368
"102",2.69696525545723
"103",2.83220654342462
"104",2.85400319343662
"105",2.59871266386471
"106",2.59871266386471
"107",2.8187203218453
"108",2.69696525545723
"109",2.8187203218453
"110",2.69696525545723
"111",2.69696525545723
"112",2.69696525545723
"113",2.59871266386471
"114",2.93938950182057
"115",2.35628841750137
"116",3.20882233942702
"117",2.8187203218453
"118",2.9374865499374
"119",2.69696525545723
"120",2.8187203218453
"121",3.20882233942702
"122",3.07463078978796
"123",2.92910322300971
"124",2.85400319343662
"125",2.85400319343662
"126",2.93626185522101
"127",2.93938950182057
"128",2.69696525545723
"129",2.85400319343662
"130",2.69696525545723
"131",2.69696525545723
"132",2.92910322300971
"133",2.96639809306368
"134",2.85400319343662
"135",2.69696525545723
"136",2.85400319343662
"137",2.69696525545723
"138",3.00757116305289
"139",2.96205334276029
"140",2.69696525545723
"141",2.69696525545723
"142",3.00757116305289
"143",3.17991079630074
"144",2.96205334276029
"145",2.69696525545723
"146",2.92910322300971
"147",2.96639809306368
"148",2.85400319343662
"149",2.69696525545723
"150",2.59871266386471
"151",3.17152746937305
"152",2.69696525545723
"153",2.96205334276029
"154",2.72397384670034
"155",2.69696525545723
"156",2.35628841750137
"157",2.45454100909389
"158",2.45454100909389
"159",2.8187203218453
"160",2.96205334276029
"161",2.9374865499374
"162",2.8187203218453
"163",2.96639809306368
"164",3.20447758912362
"165",2.69383760885767
"166",2.69696525545723
"167",2.69696525545723
"168",3.11997365369251
"169",3.0322254340698
"170",2.85400319343662
"171",2.69439163741985
"172",2.84324337557117
"173",2.72397384670034
"174",2.9374865499374
"175",2.84113691022804
"176",2.91685627584578
"177",2.85400319343662
"178",2.92910322300971
"179",2.8187203218453
"180",2.21025815227051
"181",2.45454100909389
"182",2.45454100909389
"183",2.9225277787586
"184",2.85400319343662
"185",2.92910322300971
"186",2.69696525545723
"187",2.85400319343662
"188",2.83220654342462
"189",2.9374865499374
"190",2.9374865499374
"191",2.71962909639695
"192",3.0322254340698
"193",2.69696525545723
"194",2.93938950182057
"195",3.17868610158435
"196",2.69696525545723
"197",2.83220654342462
"198",2.69696525545723
"199",2.96639809306368
"200",2.85400319343662
"201",2.92910322300971
"202",2.69696525545723
"203",2.85400319343662
"204",2.92910322300971
"205",2.69696525545723
"206",2.69696525545723
"207",2.85400319343662
"208",2.92910322300971
"209",2.93938950182057
"210",2.9374865499374
"211",2.71962909639695
"212",2.69696525545723
"213",2.69696525545723
"214",2.69696525545723
"215",2.85400319343662
"216",2.92910322300971
"217",3.06114456820864
"218",2.72397384670034
"219",2.93681588378319
"220",2.83220654342462
"221",3.20882233942702
"222",3.00757116305289
"223",2.35628841750137
"224",2.85400319343662
"225",2.96205334276029
"226",2.93681588378319
"227",2.69696525545723
"228",2.8187203218453
"229",2.85400319343662
"230",2.83220654342462
"231",2.69696525545723
"232",2.8187203218453
"233",3.17868610158435
"234",2.96205334276029
"235",3.20882233942702
"236",2.8187203218453
"237",2.69696525545723
"238",2.96205334276029
"239",2.93938950182057
"240",2.69696525545723
"241",2.93938950182057
"242",2.85400319343662
"243",2.92910322300971
"244",2.93938950182057
"245",2.69696525545723
"246",3.06114456820864
"247",2.96639809306368
"248",2.8187203218453
"249",2.59871266386471
"250",2.69696525545723
"251",2.92910322300971
"252",2.72397384670034
"253",2.69696525545723
"254",2.69696525545723
"255",2.69696525545723
"256",2.9374865499374
"257",2.93938950182057
"258",2.93938950182057
"259",3.20882233942702
"260",2.69696525545723
"261",2.93938950182057
"262",2.93626185522101
"263",3.09642743979996
"264",3.17924013014653
"265",2.96639809306368
"266",2.96639809306368
"267",2.69696525545723
"268",2.69696525545723
"269",2.21025815227051
"270",3.20447758912362
"271",2.45454100909389
"272",3.17152746937305
"273",3.17868610158435
"274",2.96639809306368
"275",2.8187203218453
"276",3.20447758912362
"277",2.69696525545723
"278",2.45454100909389
"279",2.9374865499374
"280",2.96205334276029
"281",2.93681588378319
"282",2.69696525545723
"283",2.69696525545723
"284",2.69696525545723
"285",2.96639809306368
"286",2.93938950182057
"287",2.96639809306368
"288",2.84113691022804
"289",3.20882233942702
"290",2.96639809306368
"291",2.96639809306368
"292",2.61157894707328
"293",2.84324337557117
"294",2.96639809306368
"295",3.0322254340698
"296",2.69696525545723
"297",2.78980118770646
"298",3.0322254340698
"299",2.59871266386471
"300",2.85400319343662
"301",2.93938950182057
"302",3.20882233942702
"303",3.20882233942702
"304",2.93938950182057
"305",2.69696525545723
"306",2.85400319343662
"307",2.9374865499374
"308",2.93938950182057
"309",2.96639809306368
"310",2.69696525545723
"311",2.69696525545723
"312",3.17152746937305
"313",2.96639809306368
"314",3.0322254340698
"315",2.69696525545723
"316",2.93681588378319
"317",2.96639809306368
"318",2.68667897664638
"319",2.96639809306368
"320",2.96639809306368
"321",3.17868610158435
"322",2.92910322300971
"323",2.85400319343662
"324",2.21025815227051
"325",2.59871266386471
"326",2.85400319343662
"327",2.69439163741985
"328",3.20447758912362
"329",2.68667897664638
"330",2.35628841750137
"331",3.0322254340698
"332",2.59871266386471
"333",2.8187203218453
"334",3.24999540941623
"335",2.96205334276029
"336",2.69696525545723
"337",2.69696525545723
"338",2.69696525545723
"339",2.93938950182057
"340",2.8187203218453
"341",2.69696525545723
"342",2.35628841750137
"343",2.69696525545723
"344",2.69696525545723
"345",2.93938950182057
"346",2.85400319343662
"347",2.93626185522101
"348",2.96205334276029
"349",2.96639809306368
"350",2.96639809306368
"351",2.69696525545723
"352",3.20882233942702
"353",2.69696525545723
"354",2.69696525545723
"355",3.17868610158435
"356",2.45454100909389
"357",2.69696525545723
"358",2.96639809306368
"359",2.69696525545723
"360",2.93681588378319
"361",2.9374865499374
"362",2.85400319343662
"363",2.96639809306368
"364",2.59871266386471
"365",2.85400319343662
"366",2.85400319343662
"367",2.96205334276029
"368",2.69696525545723
"369",2.85400319343662
"370",2.91685627584578
"371",2.93626185522101
"372",2.69696525545723
"373",2.71962909639695
"374",2.85400319343662
"375",2.96639809306368
"376",2.92910322300971
"377",2.92910322300971
"378",2.96639809306368
"379",2.69696525545723
