"","V1"
"1",1.10134030943495
"2",1.87697217438691
"3",2.67078877222426
"4",4.28622116344107
"5",4.40810915130387
"6",3.64075249192339
"7",4.43672381785336
"8",3.43857805423215
"9",4.34817603142954
"10",3.55553455569367
"11",4.31559979117447
"12",3.26181307783499
"13",4.37811266893507
"14",3.59831327886574
"15",2.69523591355637
"16",4.50757174594871
"17",2.53639820880934
"18",3.13555161324301
"19",3.60595676092574
"20",4.27351263637715
"21",4.4450588681881
"22",2.46548969364468
"23",4.33602551413776
"24",2.43972132346255
"25",2.53639820880934
"26",2.57245040590703
"27",4.26190683840553
"28",2.66245372188952
"29",1.66771152220176
"30",4.22101704705103
"31",4.37269556577084
"32",3.69429933804381
"33",1.74293292702628
"34",3.65200548942864
"35",4.32227336053877
"36",4.15829821777863
"37",4.1507271286278
"38",3.29966031450575
"39",1.77195949659936
"40",3.28715773895363
"41",3.57734209437625
"42",2.56918040047619
"43",2.64898123354168
"44",4.41151271523733
"45",2.53563424752541
"46",2.64064618320694
"47",4.39540062423996
"48",4.27857693917503
"49",2.59264867802319
"50",3.39196372312336
"51",4.93600272461861
"52",1.76868949116852
"53",2.547239303291
"54",1.93759612032994
"55",4.2087204230107
"56",3.56407629974625
"57",4.29706225792273
"58",4.27560677750048
"59",4.29706225792273
"60",2.44202141609767
"61",2.53869830144446
"62",3.40487820169907
"63",1.83182022346451
"64",4.34380255470036
"65",2.58605645275748
"66",2.63724261927349
"67",2.38568886067921
"68",3.49427125597994
"69",4.41568024045471
"70",2.71704345223896
"71",4.45339391862286
"72",2.69106838843901
"73",2.58495298145915
"74",3.59685849151312
"75",3.62318487136735
"76",4.37831862044686
"77",3.31640280828444
"78",4.31483582999056
"79",4.3474844631548
"80",2.53639820880934
"81",2.66544538279938
"82",4.03917444007858
"83",3.56407629974625
"84",3.55471074964648
"85",1.82751913974452
"86",4.32372889009743
"87",2.28769074658243
"88",2.54890004215542
"89",2.56084535014145
"90",1.82751913974452
"91",3.24166702022287
"92",3.37884329303585
"93",1.78904224249848
"94",4.45339391862286
"95",3.39710116103645
"96",1.75856014336673
"97",3.63151992180211
"98",2.00509762129031
"99",2.3967366488787
"100",3.48066520912949
"101",1.71736976614991
"102",4.42818281600683
"103",2.57661793112441
"104",1.86446885662875
"105",3.47212420718293
"106",2.43028280182948
"107",2.6448137083243
"108",2.65828619667214
"109",2.51042314490938
"110",4.40810915130387
"111",1.96280722294598
"112",3.57734209437625
"113",1.85779528736447
"114",4.33643667495531
"115",0.991821338521634
"116",2.42284452907523
"117",1.97891931394335
"118",1.84418924051402
"119",2.46306499359635
"120",4.28545720215714
"121",4.2437213633141
"122",5.04170622857487
"123",1.6762525240483
"124",2.5111871061933
"125",2.62335822790205
"126",1.86065338967171
"127",3.15583122945776
"128",2.69106838843901
"129",4.16760318090909
"130",3.58581070331362
"131",4.3743570468413
"132",1.89072358577986
"133",1.72570481648465
"134",1.82841665953106
"135",4.19621784745858
"136",2.54396929786015
"137",1.86119885129793
"138",2.65391271994297
"139",3.7412448441272
"140",4.45756144374022
"141",2.58078545624177
"142",4.3059553180296
"143",2.45639068202601
"144",4.43672381785336
"145",4.21399141952641
"146",4.26844759137324
"147",1.82841665953106
"148",1.84452875052843
"149",2.56050584012704
"150",4.36602199640654
"151",3.42627383735807
"152",3.67832006334301
"153",4.39046913783867
"154",1.94864390852944
"155",2.57245040590703
"156",1.03897353842288
"157",1.98976115063105
