"","tauhat","2.5%","97.5%"
"1",0.990594422473231,-0.369481817267028,2.459971599252
"2",2.28398098293854,0.8077478335625,3.45099095280925
"3",2.19952741354564,0.913198541806998,3.45222940849125
"4",4.09432140200258,2.67037718717549,5.343478002688
"5",4.17932771439176,2.84552050660875,5.33827279826125
"6",2.94067709743936,1.68069615964123,4.23161131293825
"7",4.23054479829827,3.04203169665675,5.437627803337
"8",2.82803070263895,1.26874667687425,4.18115185312568
"9",4.43396117834696,3.17593647873525,5.7735403328265
"10",2.91290482211479,1.503888212147,4.54559044999435
"11",4.13439338647854,2.670637694599,5.32318299869125
"12",2.26905392317508,0.47734292302375,3.8800448692165
"13",4.26022239384702,2.90805861157625,5.4472701304355
"14",3.14416409538002,1.72967503701585,4.77297025660775
"15",2.2515177141286,0.915949730292751,3.46363013165626
"16",4.54296469737542,3.18456624920375,5.9197520665205
"17",2.17058060159385,0.913198541806993,3.162844570543
"18",3.47654901070808,1.91517410579435,5.423101796775
"19",2.79480618412028,1.20359285511225,4.51621217927218
"20",4.44094541658922,3.0457466385125,5.92213263113225
"21",4.3740477322535,2.7345062261525,5.7763259168685
"22",2.07132597269918,0.158251305280499,4.4094485104385
"23",4.4579712136521,3.26086755763125,5.77548385991
"24",2.38488650840251,1.16722339879025,3.54383096703
"25",2.27803967602307,1.132117401844,3.205922585775
"26",2.15727072336242,0.88124545174875,3.4432883660545
"27",3.10907866471725,1.6308144060515,4.731769972591
"28",2.27313970243264,0.912602524792254,3.45600610713551
"29",0.891865646392931,-0.606325317837246,2.98340064322075
"30",4.23525961723914,2.8369077079955,5.85858922148001
"31",4.17914282486686,2.80066823003525,5.3468327997175
"32",4.1095406399294,2.89103835376975,5.14564290876576
"33",0.79649596414461,-0.850457594188749,2.71561013157
"34",3.1143281851784,1.66327335234175,4.8195548157
"35",4.13421960707629,2.7024210054615,5.41292092773257
"36",4.15409935538971,2.77048058179275,5.545193339112
"37",4.04919891723577,2.65051979461775,5.343478002688
"38",2.43620565575402,0.960738857537249,3.86764426547925
"39",2.07011763723275,0.214602515785002,3.9828827055905
"40",2.34352764960283,0.880012114964749,3.8990660915995
"41",2.66409950442782,1.03876162724725,4.51621217927217
"42",2.35963439795645,0.960738857537248,3.91869982134855
"43",2.17946141054603,0.762654965093499,3.743263970924
"44",4.35064830259188,2.8906535865905,5.715607247415
"45",2.3285757619156,0.960738857537251,3.5879956365515
"46",2.3642526968368,1.30640259314775,3.46363013165625
"47",4.39410665884777,3.18456624920375,5.714554602495
