"","V1"
"1",-1.38425675428258
"2",-1.51454971310104
"3",-2.3057535826696
"4",-1.30105280378368
"5",-1.44529218719136
"6",-0.739824805651268
"7",-1.38322226089077
"8",-0.530028050048015
"9",-0.99732387175226
"10",-1.08831247493825
"11",-1.48094737553843
"12",-1.2547290670977
"13",-0.974974753933969
"14",-1.12746113997124
"15",-1.43362015634536
"16",-0.571755097364027
"17",-2.39217923181432
"18",-0.684915850195567
"19",-0.896704242484628
"20",-0.953777429032239
"21",-0.923394352832119
"22",-0.867368618283316
"23",-0.628671624051407
"24",-1.44899359590432
"25",-1.38217046249953
"26",-1.48967532996678
"27",-1.85843050413452
"28",-1.67669088936405
"29",-0.818792940314089
"30",-0.262600191852058
"31",-0.920068431038164
"32",-1.91248887911918
"33",-0.898282529450656
"34",-0.914094228922761
"35",-0.753377962897578
"36",-1.23886576507032
"37",-1.18112789538563
"38",-1.25154149152325
"39",-0.75102485753659
"40",-1.75937411401724
"41",-1.05507779761037
"42",-1.37377606342106
"43",-1.26233705373032
"44",-1.18591181072393
"45",-1.71744189768038
"46",-1.23865442609343
"47",-1.23440076828959
"48",-1.19990175458954
"49",-1.18239378373033
"50",-1.37768619336231
"51",-1.42701513768873
"52",-1.3872106755273
"53",-1.31473069165124
"54",-1.25818923395324
"55",-1.00900458930981
"56",-1.52689514946618
"57",-1.50675956301398
"58",-0.534545416502412
"59",-1.80276724386341
"60",-1.30454688493888
"61",-1.37888832724702
"62",-1.37919120958521
"63",-1.54650781607996
"64",-0.931117615812554
"65",-1.67955074246063
"66",-1.41944458171012
"67",-0.568142785838319
"68",-1.16566170151486
"69",-1.15962624065224
"70",-1.33727732281793
"71",-1.3190835179798
"72",-1.43122033423825
"73",-1.08832152603499
"74",-1.39452319721711
"75",-0.515928069636445
"76",-1.46518024005714
"77",-0.646713140974774
"78",-2.44677462861078
"79",-1.05324082385741
"80",-1.21784242996588
"81",-1.38553772546467
"82",-2.15312008392851
"83",-1.88211758255206
"84",0.0876024595003183
"85",-0.822985974190022
"86",-1.312692111367
"87",-2.17420086290819
"88",-0.647061744165504
"89",-1.30949206884719
"90",-2.13177905910074
"91",-0.96342257276581
"92",-1.18660392591936
"93",-1.55349987631595
"94",-1.35830063011204
"95",-1.22387697105826
"96",-1.05558306262201
"97",-0.463866494623991
"98",-1.03936465297155
"99",-2.33711662610551
"100",-1.21226181328391
"101",-1.1943962229359
"102",-1.33247730769134
"103",-0.896371534168965
"104",-1.08914897686956
"105",-0.944620937690323
"106",-1.15347504384812
"107",-1.29681341406423
"108",-1.16887827083979
"109",-1.34525582443063
"110",-1.4672152362803
"111",-0.984832743873117
"112",-0.934508173533674
"113",-1.05633254740923
"114",-0.637530714064894
"115",-1.08900397980677
"116",-1.17943902717863
"117",-1.37527607465684
"118",-0.817891384692178
"119",-1.16247087016742
"120",-1.5469379510007
"121",-0.576763281828116
"122",-0.872855985852428
"123",-1.07693000658212
"124",-1.14409668797765
"125",-0.930298216947273
"126",-0.603378057137414
"127",-0.601513234946311
"128",-1.20415785298296
"129",-1.60763754790085
"130",-1.06370683912621
"131",-1.67923520461267
"132",-0.263138930879832
