"","Mean","Low95","Up95"
"1",-0.741918299536087,-1.23169229549283,-0.263642664384954
"2",-1.38644048725,-2.14534747948131,-0.814024666390962
"3",-0.634498558326,-1.35525122367911,0.00957890283698848
"4",-0.974809400728,-1.81351895345873,-0.31343957765922
"5",-1.41337008291297,-2.28320541575706,-0.731591909125364
"6",-1.49534099635581,-2.3129041043765,-0.840059355504233
"7",-0.686052064677881,-1.20631340792611,-0.255878052178301
"8",-0.4468219323276,-1.42947480374763,0.342521279668556
"9",-0.765908613394403,-1.32105336565778,-0.404579071223865
"10",-0.698667077914529,-1.64092223777782,0.121058696853189
"11",-1.26682158731498,-1.88438425776978,-0.692771791494394
"12",-0.925698192669975,-1.50387182813715,-0.304288444368017
"13",-1.08074322092505,-1.72967938863321,-0.450525641914722
"14",-0.506814460900568,-1.52677188214484,0.340143188890472
"15",-0.775340711406892,-1.6468387098874,0.20172350556038
"16",-1.20483845061139,-1.97083776031935,-0.641591368110777
"17",-1.10036000301197,-1.76047774286324,-0.522321740368879
"18",-0.859688710955963,-1.62980093601544,-0.155744201588693
"19",-1.1503374293317,-1.89397591216516,-0.550001103892398
"20",-1.1481115413232,-2.03660791918625,-0.297493148103417
"21",-0.320262469027676,-1.03686247209406,0.126734468216365
"22",-0.944297521152777,-1.68561211265259,-0.246644838956814
"23",-1.21955125107143,-1.84652303207202,-0.442394524036751
"24",-1.10676369059436,-1.83539962909389,-0.377552185996039
"25",-0.67136624489286,-1.43645372900686,0.298211728250138
"26",-0.697365093828073,-1.24483672029601,-0.236829157416346
"27",-0.603475996569486,-1.26500449281439,-0.123405950103616
"28",0.15625728643403,-0.705133839088548,1.24848883870216
"29",-0.369897729592824,-1.01450575365067,0.592730814049567
"30",-1.19047700565553,-1.90840619330612,-0.522056921659267
"31",-0.315593284422599,-1.26912701491338,0.29625713310258
"32",-0.960953391078346,-1.8144950412779,-0.232462713251097
"33",-0.924589336850278,-1.45578541342422,-0.195645333113539
"34",-1.0986250161643,-1.7390073484493,-0.501212696553604
"35",-0.984414190308679,-1.82828280593548,-0.186182790351057
"36",-1.08519372851946,-1.65651331414219,-0.425289699611938
"37",-1.07522521301804,-2.14092692459868,-0.233280510315147
"38",-1.47369544243589,-2.20982667187486,-0.748444310929595
"39",-0.805869218558331,-1.3930885366806,-0.306456278798313
"40",-1.10196707926352,-1.6731279509027,-0.471042964691217
"41",-0.933000678690585,-1.70335908117615,-0.233247102196191
"42",-1.15281260077594,-1.82496139597615,-0.360692872552636
"43",-0.484544608410831,-0.949199701257617,-0.0301017297163096
"44",-1.06782363793689,-1.81464185249941,-0.371402340189392
"45",-0.907405935441416,-1.48911816384755,-0.468762824891834
"46",-1.18316797238025,-1.79253916467128,-0.502818792079761
"47",-0.955662481739417,-1.73135845945394,-0.223365939665818
"48",-1.36186986394908,-2.04351496999911,-0.665494400602635
