estimator,metric,const,age,canton_moth_tongue,city_big,city_medium,city_no,cw_age,cw_cooperative,cw_educ_above_voc,cw_educ_tertiary,cw_female,cw_missing,cw_own_ue,cw_tenure,cw_voc_degree,emp_share_last_2yrs,emp_spells_5yrs,employability,female,foreigner_b,foreigner_c,gdp_pc,married,other_mother_tongue,past_income,prev_job_manager,prev_job_sec_mis,prev_job_sec1,prev_job_sec2,prev_job_sec3,prev_job_self,prev_job_skilled,prev_job_unskilled,qual_semiskilled,qual_degree,qual_unskilled,qual_wo_degree,swiss,ue_cw_allocation1,ue_cw_allocation2,ue_cw_allocation3,ue_cw_allocation4,ue_cw_allocation5,ue_cw_allocation6,ue_spells_last_2yrs,unemp_rate
R AML,OLS,1.0329504991226452,0.05597682283432899,-1.124317652867468e-16,0.007411005159013282,-0.002967373352707247,-0.004220665589342776,8.857931749206571e-17,-1.7070763205784267e-16,9.345822726825048e-17,-5.919743861770854e-17,9.020562075079397e-17,2.1055206189668496e-16,-9.69276742202041e-17,1.984089975648473e-17,-6.559423143537302e-17,-8.971772977317549e-17,-1.563758345902999e-16,1.2500851048757866e-16,0.40939260221917734,7.069929594560355e-11,8.754981798125144e-11,1.3335686721571705e-17,2.8579569266717897e-16,2.2876665839444144e-17,0.36094688881520437,1.1254018550399536e-16,3.9452045959547516e-11,2.8643849661960652e-11,3.328595184854885e-11,4.9748957340819966e-11,7.361732751176575e-17,4.737963493761654e-16,2.0122792321330962e-16,-1.3911850404307868e-11,-1.876815339967898e-11,-1.5972646328406975e-11,-6.688665029827567e-12,9.996104118059623e-11,-9.996344030316351e-17,-5.139118297581291e-17,1.227316859253591e-16,-2.229119666630197e-16,-6.884683795282953e-18,-1.6154612370034016e-17,-1.8187491443444337e-16,-1.1329912702473521e-17
R AML,perm,0.0,0.02939031774669132,0.0,0.001123162455667126,8.976036247609898e-09,0.0,9.327899641586868e-08,0.0,1.8507303911619033e-08,0.0,2.4986447355601626e-09,9.571531345287099e-10,4.5122946268350006e-08,1.3847676894052086e-08,4.1312997467457535e-09,1.0157840601987544e-07,8.255085437447462e-08,0.0,1.5869119496505557,0.0,4.5105208457130175e-10,9.097230202481654e-08,1.1241365394099034e-08,0.0,1.2453964313244144,1.6033974148399466e-09,2.8103716021021796e-09,2.0948375512030992e-07,0.0,8.308741683560328e-08,4.999639147129642e-09,1.0758596902249451e-07,4.3059512078169604e-07,1.4604222275949041e-09,3.155183336822631e-09,6.11685624374303e-09,1.7195638246647604e-09,1.287938712346559e-07,3.0083432411842637e-09,1.1572062197373612e-09,7.527566059373214e-08,4.886601900899734e-09,0.0,0.0,2.927411013597947e-08,1.4635239964366775e-07
R AML,shap,0.0,0.04808609187602997,0.0,0.008615538477897644,7.196057367764297e-07,0.0,2.4570537789259106e-05,0.0,4.050315510539804e-06,0.0,3.2283512041431095e-07,1.5068438870002865e-06,1.0368070434196852e-05,7.000530786172021e-07,8.250322025560308e-07,1.6189636880881153e-05,9.104409400606528e-06,0.0,0.3525407314300537,0.0,3.714173431035306e-07,4.501096191233955e-05,4.729123702418292e-06,0.0,0.26310861110687256,2.5498687250546936e-07,6.174940381242777e-08,2.683228194655385e-05,0.0,1.9049872207688168e-05,5.1714174276185076e-08,3.5817287425743416e-05,0.000156908601638861,4.623483818022578e-08,2.8014317194902105e-06,6.970254275984189e-07,2.1773746539111016e-07,3.303077392047271e-05,1.8140721635973023e-07,8.232732966462208e-07,1.0062646651931573e-05,1.289412665528289e-07,0.0,0.0,2.161835936931311e-06,1.410578715876909e-05
CF,OLS,1.142992242627884,0.14345814172450952,0.024902611771145257,0.03321937978969306,-0.0240618860227788,-0.01135339814975535,-0.03926404376641146,0.012330131185755506,0.011272456310281367,0.022281028312009038,0.022704059573254394,-0.03153752566090333,-0.010478570908831685,-0.01904666729645837,0.0480388916055237,0.03224980360873252,-0.012993509547508449,-0.0030869183059202636,0.27657769352615796,0.00913232144723651,-0.0040606731377105,0.03365895774336004,0.008194456473504544,-0.0012961208789040806,0.2842602786041,0.042303391807746775,-0.003187254400778577,-0.01784454498179725,-0.011970653157589594,0.020811430237468887,0.007629962544297371,0.015224829506752184,0.015808610116442898,0.0006105431399605186,0.0005545324745477372,-0.0025730617860526064,0.0033185993737943017,-0.0029025352196440507,-0.0013628198533152326,-0.012437724496090517,0.006819404890444916,0.02034048010683791,-0.029259097426995177,-0.0209920059237031,-0.006762044613638685,-0.10472742294336035
CF,perm,0.0,0.2565654301266142,0.008283381704644155,0.0734993474939265,0.002881452484927216,0.0017931483110729118,0.10966326074759936,0.009592051659239709,0.007609903546087704,0.0037080638879516403,0.0053087948591401535,0.00013174810595950603,0.006345868174704172,0.023700107979896856,0.014029749264963587,0.03207340175394813,0.00299950231065349,0.006410424705442841,0.4200998710242586,0.00040056181566783255,0.0011719473951078418,0.02914247209328158,0.003567994997317636,0.0009963562766232004,0.5756937249095156,0.0030933342476396897,0.0003124959515063974,0.00018389257508011347,0.0043093795378059685,0.00862277884396545,8.288013277457651e-05,0.0008727326192843332,0.0017113416305839513,0.006187151390291468,0.0013710782740967709,0.00031847933401074613,0.0,0.0035742469821131717,0.002875582245437047,0.010426632561635896,0.0016227184695217778,0.0025633540980695146,0.004111561926650631,0.00199254543573002,0.005605671246220578,0.15396408897389313
CF,shap,0.0,0.120991051197052,0.014703461900353432,0.04732585325837135,0.007120756898075342,0.001936035929247737,0.06301798671483994,0.015471717342734337,0.013807541690766811,0.010651091113686562,0.015012088231742382,0.001360329450108111,0.014766665175557137,0.031221963465213776,0.02939136140048504,0.04043377935886383,0.008063088171184063,0.015120434574782848,0.25204840302467346,0.0009823141153901815,0.0030319674406200647,0.03848059102892876,0.009116568602621555,0.003140457207337022,0.1963854879140854,0.006474646739661694,0.0012984853237867355,0.0012629959965124726,0.005580570083111525,0.024829542264342308,0.00012025500473100692,0.0022554032038897276,0.0033480124548077583,0.008057601749897003,0.0038710597436875105,0.001308624749071896,0.0,0.00891447626054287,0.0061005279421806335,0.0212169848382473,0.0025482382625341415,0.006928825750946999,0.011970490217208862,0.003784970613196492,0.006663413718342781,0.10981094837188721
BCF,OLS,0.9776865045475577,0.08645697144558324,-0.00032531770471375696,0.057820385063199635,-0.06366912753594943,-0.004443112264612771,0.011025883238922075,0.022588906045265963,-0.005857097453446341,0.0012906294556593615,0.02996348826406548,-0.0074343422590594085,0.003087985158978591,0.002746536581691241,0.02396009192598883,0.017395568182301747,-0.02081066749117422,-0.04655134550487106,0.30829572816822626,-0.018329607197042477,-0.04454360943038467,-0.022935820764157858,0.02199034847745101,-0.0196481561085177,-0.04393515933020362,0.04528486545337018,-0.01643688865420666,-0.05503744415611109,0.0011697396071233927,0.0439415239725959,0.01911233808572703,0.07925493929782673,0.01076487452623364,-0.030123138435640504,0.038243778019044605,-0.016917100777906677,-0.004258059061715244,0.05197708575904435,0.025199061246492082,-0.006681000248572121,0.004674957916987387,-1.6884116910365716e-05,-0.03887166333490574,0.0002694670088463616,0.02771304167445196,-0.023701889380427166
BCF,perm,0.0,0.12122641607037898,0.0005033952885273862,0.04759307326278073,0.043910565165556026,4.88135642162657e-06,0.001904846055539422,0.010907446338035198,3.333629453106113e-05,0.0009812973728178243,0.003998753188446003,0.0009078722684108254,0.0001710883357988191,6.227534452507566e-05,0.015035521221716253,0.024151598586585665,2.3324155530857205e-05,0.032633754978870444,1.0185643705840013,6.976953609671988e-05,0.0020848398277234503,0.08252094135068677,0.020647962500064954,0.005353112210561339,0.03479532214658265,0.0005942931172590038,0.000374380542239261,0.015733382097658954,0.00018509349343009962,0.02693056133286109,0.0009977508322105422,0.009188945749128319,0.014116958063642882,0.0007872055858880733,0.047373158716082164,0.0,1.5684500544788094e-05,0.09207678425327492,0.013361340636263153,0.00016421440905145523,4.3095758996747335e-05,0.00012593392156523553,0.004369183213681516,6.254087881940595e-05,0.018984789342468944,0.013648624232351803
BCF,shap,0.0,0.08637154847383499,0.0034051656257361174,0.049341969192028046,0.04154430702328682,0.00011952657951042056,0.008086396381258965,0.030940139666199684,0.0011276730801910162,0.00697633670642972,0.018519161269068718,0.003910659812390804,0.003141877707093954,0.0005671200342476368,0.03073757328093052,0.042384177446365356,0.00044859806075692177,0.03959212452173233,0.3108970522880554,0.0008169783395715058,0.00892612524330616,0.06559572368860245,0.023033373057842255,0.018378155305981636,0.038097038865089417,0.0023023271933197975,0.003866656217724085,0.02195517159998417,0.0022334842942655087,0.0498458631336689,0.001427693059667945,0.023049769923090935,0.028704438358545303,0.005788903217762709,0.06426794081926346,0.0,0.00019864444038830698,0.08720652759075165,0.03300059586763382,0.0025810240767896175,0.0005195137928240001,0.0015708620194345713,0.013181382790207863,0.001096827327273786,0.02272399142384529,0.022145019844174385
BART,OLS,1.0214483072431102,0.011364376774041179,0.0029820232833168603,0.002016145069198818,-0.003497503592525802,0.0007431719984535264,0.0031842963212643984,0.0007207357841801823,0.003505267358409629,0.0008918037771438711,0.0006904079145724919,0.009873754761966044,-0.00023887624577635267,-0.002091215601368526,0.011464475030976013,0.0012697924535506864,-0.01675406836171096,-0.002888652325963037,0.5496581116305149,0.0029815976256395093,-0.0023357715824470645,0.0012455939214662524,0.010346121475956285,-0.0010923184327353294,0.2400856663464562,0.0302683586891159,0.0020421412928797117,-0.0037832512596067875,-0.0013119674422301137,0.0014366614451878485,0.00353565804003628,-0.005950310549604281,-0.019641296527519943,0.0018310638131616465,0.0012723950547358885,-0.002144706490168704,-0.002257061132092373,-6.303831303968333e-05,0.0029297764120268083,0.002434582081786035,-0.0008629277893969144,0.0006695027516459954,-0.005748596671067198,-0.0023137258304197898,-0.006109301319845518,-0.0036437588323566823
